Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,606,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,640,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,588,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,650,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,1555,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,1851,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,1334,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,1547,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,1084,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,1210,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,733,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,846,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,795,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,1116,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,1326,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,1766,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,990,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,1144,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,1047,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,1250,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,1411,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,1642,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,937,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,938,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,723,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,730,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,846,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,988,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,1147,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,1132,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,1036,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,997,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,1234,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,1264,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,753,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,771,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,1247,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,1422,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,1159,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,1074,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,1078,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,1064,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,747,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1025,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1000,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,966,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,642,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,672,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2552,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,8119,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,751,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,690,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,969,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,934,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,711,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,674,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1172,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1277,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,732,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,827,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,851,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,871,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,486,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,564,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,456,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,479,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,587,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,568,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,614,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,542,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,671,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,605,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,700,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,708,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,664,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,651,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,548,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,533,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,744,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,691,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,911,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,830,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,785,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,826,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,757,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,695,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,950,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,964,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,879,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,918,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,886,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,833,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1038,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1028,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,776,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,704,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,784,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,797,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,829,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,846,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1223,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1144,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,970,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,864,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,630,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,634,2
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,666,1
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,615,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,717,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,624,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,2206,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,2532,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,637,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,508,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,778,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,748,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,1067,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,923,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,871,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,750,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,652,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,559,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,992,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,911,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,937,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,843,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,635,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,579,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,572,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,543,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,816,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,770,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,580,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,571,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,704,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,660,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,815,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,749,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,981,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,862,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,1046,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,895,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,989,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,830,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,1055,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,928,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,830,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,738,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,807,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,719,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,664,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,630,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,582,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,464,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,626,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,521,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,600,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,528,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,1124,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,930,2
