Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,628,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,681,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,625,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,657,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,1663,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,1837,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,1396,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,1603,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,1109,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,1217,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,741,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,876,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,832,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,1171,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,1363,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,1840,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,996,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,1121,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,1113,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,1336,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,1435,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,1656,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,939,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,975,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,729,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,742,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,839,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,947,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,1196,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,1138,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,1078,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,1011,2
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,1250,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,1273,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,768,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,782,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,1304,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,1523,2
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,1170,1
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,1155,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,1114,1
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,1105,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,751,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,998,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1037,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1003,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,690,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,687,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3019,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,10096,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,762,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,760,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,987,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,952,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,720,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,729,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1197,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1287,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,738,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,809,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,879,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,856,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,510,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,578,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,490,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,482,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,619,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,568,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,629,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,562,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,682,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,602,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,729,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,732,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,642,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,668,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,541,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,539,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,768,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,707,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,900,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,843,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,801,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,836,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,761,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,701,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,980,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,991,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,898,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,962,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,895,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,848,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1052,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1045,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,787,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,734,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,796,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,808,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,872,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,891,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1253,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1143,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,960,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,888,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,644,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,630,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,669,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,628,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2001,722,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2001,629,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2002,2728,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2002,3331,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2003,661,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2003,519,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2004,759,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2004,735,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2005,1079,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2005,972,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2006,888,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2006,773,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2007,675,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2007,534,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2008,1028,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2008,917,2
2024-01-01,2,Eixample,5,el Fort Pienc,20,2009,950,1
2024-01-01,2,Eixample,5,el Fort Pienc,20,2009,844,2
2024-01-01,2,Eixample,5,el Fort Pienc,21,2010,650,1
2024-01-01,2,Eixample,5,el Fort Pienc,21,2010,585,2
2024-01-01,2,Eixample,5,el Fort Pienc,21,2011,594,1
2024-01-01,2,Eixample,5,el Fort Pienc,21,2011,551,2
2024-01-01,2,Eixample,5,el Fort Pienc,21,2012,822,1
2024-01-01,2,Eixample,5,el Fort Pienc,21,2012,782,2
2024-01-01,2,Eixample,5,el Fort Pienc,21,2013,592,1
2024-01-01,2,Eixample,5,el Fort Pienc,21,2013,571,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2014,703,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2014,668,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2015,835,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2015,773,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2016,992,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2016,869,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2017,1059,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2017,891,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2018,994,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2018,869,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2019,1047,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2019,922,2
2024-01-01,2,Eixample,5,el Fort Pienc,22,2020,858,1
2024-01-01,2,Eixample,5,el Fort Pienc,22,2020,748,2
2024-01-01,2,Eixample,6,la Sagrada Família,23,2021,803,1
2024-01-01,2,Eixample,6,la Sagrada Família,23,2021,726,2
2024-01-01,2,Eixample,6,la Sagrada Família,23,2022,696,1
2024-01-01,2,Eixample,6,la Sagrada Família,23,2022,649,2
2024-01-01,2,Eixample,6,la Sagrada Família,23,2023,575,1
2024-01-01,2,Eixample,6,la Sagrada Família,23,2023,458,2
2024-01-01,2,Eixample,6,la Sagrada Família,23,2024,638,1
2024-01-01,2,Eixample,6,la Sagrada Família,23,2024,537,2
2024-01-01,2,Eixample,6,la Sagrada Família,24,2025,602,1
